method	k1	b	MAP
bm25	0.5	0.1	0.2423
bm25	0.5	0.15	0.2448
bm25	0.5	0.2	0.247
bm25	0.5	0.25	0.2476
bm25	0.5	0.3	0.2474
bm25	0.5	0.35	0.2477
bm25	0.5	0.4	0.248
bm25	0.5	0.45	0.2468
bm25	0.5	0.5	0.2453
bm25	0.5	0.55	0.2451
bm25	0.5	0.6	0.245
bm25	0.5	0.65	0.2449
bm25	0.5	0.7	0.2439
bm25	0.5	0.75	0.2422
bm25	0.5	0.8	0.2398
bm25	0.5	0.85	0.2375
bm25	0.5	0.9	0.235
bm25	0.6	0.1	0.2433
bm25	0.6	0.15	0.2454
bm25	0.6	0.2	0.2471
bm25	0.6	0.25	0.2482
bm25	0.6	0.3	0.2476
bm25	0.6	0.35	0.2478
bm25	0.6	0.4	0.2482
bm25	0.6	0.45	0.2473
bm25	0.6	0.5	0.2456
bm25	0.6	0.55	0.2449
bm25	0.6	0.6	0.2449
bm25	0.6	0.65	0.2441
bm25	0.6	0.7	0.2425
bm25	0.6	0.75	0.2412
bm25	0.6	0.8	0.2392
bm25	0.6	0.85	0.2379
bm25	0.6	0.9	0.235
bm25	0.7	0.1	0.243
bm25	0.7	0.15	0.2463
bm25	0.7	0.2	0.2473
bm25	0.7	0.25	0.2486
bm25	0.7	0.3	0.2478
bm25	0.7	0.35	0.2478
bm25	0.7	0.4	0.2485
bm25	0.7	0.45	0.2475
bm25	0.7	0.5	0.2466
bm25	0.7	0.55	0.2438
bm25	0.7	0.6	0.2435
bm25	0.7	0.65	0.2432
bm25	0.7	0.7	0.2425
bm25	0.7	0.75	0.241
bm25	0.7	0.8	0.2388
bm25	0.7	0.85	0.2374
bm25	0.7	0.9	0.2342
bm25	0.8	0.1	0.2426
bm25	0.8	0.15	0.2462
bm25	0.8	0.2	0.2481
bm25	0.8	0.25	0.2482
bm25	0.8	0.3	0.2479
bm25	0.8	0.35	0.2481
bm25	0.8	0.4	0.2488
bm25	0.8	0.45	0.2468
bm25	0.8	0.5	0.2454
bm25	0.8	0.55	0.2441
bm25	0.8	0.6	0.2437
bm25	0.8	0.65	0.2429
bm25	0.8	0.7	0.2425
bm25	0.8	0.75	0.2405
bm25	0.8	0.8	0.2386
bm25	0.8	0.85	0.2368
bm25	0.8	0.9	0.2348
